name,manufacturer,firstFlight,era,type,description,engine,speed,range,crew,notes
Wright Flyer,Wright Brothers,1903,Early Aviation,Experimental,"The first successful powered aircraft, made the first controlled, sustained flight on December 17, 1903.","12 hp gasoline engine",30 mph,852 ft,1,"First flight lasted 12 seconds"
Curtiss JN-4 "Jenny",Curtiss,1915,WWI,Biplane,"Widely used as a trainer aircraft during WWI and later for barnstorming in the 1920s.","OXX-6 V8 engine, 90 hp",75 mph,175 mi,2,"Famous for postwar airshows"
Spirit of St. Louis,Ryan Airlines,1927,Interwar,Monoplane,"Custom-built for Charles Lindbergh’s solo nonstop flight across the Atlantic.","Wright Whirlwind J-5C radial, 223 hp",120 mph,4100 mi,1,"First solo nonstop transatlantic flight"
Supermarine Spitfire,Supermarine,1936,WWII,Fighter,"Iconic British fighter of WWII with elliptical wings and superb maneuverability.","Rolls-Royce Merlin V12",370 mph,1000 mi,1,"Key role in Battle of Britain"
Boeing B-17 Flying Fortress,Boeing,1935,WWII,Bomber,"Heavy bomber known for durability and long-range missions over Europe.","4× Wright R-1820 Cyclone engines",287 mph,2000 mi,10,"Used in daylight bombing campaigns"
Bell X-1,Bell Aircraft,1947,Jet Age,Experimental,"First aircraft to break the sound barrier in level flight, piloted by Chuck Yeager.","Rocket engine, Reaction Motors XLR11",700 mph,5 mi altitude,1,"Mach 1.06 achieved in 1947"
Boeing 707,Boeing,1957,Jet Age,Airliner,"First successful commercial jet airliner, ushered in the Jet Age for passengers.","4× Pratt & Whitney JT3C turbojets",600 mph,3500 mi,5,"Revolutionized commercial air travel"
Lockheed SR-71 Blackbird,Lockheed,1964,Cold War,Reconnaissance,"High-altitude, long-range reconnaissance aircraft; fastest air-breathing manned aircraft.","2× Pratt & Whitney J58 turbojets",2200+ mph,2900 mi,2,"Operated at Mach 3+"
Airbus A380,Airbus,2005,Modern,Airliner,"World’s largest passenger airliner with double-deck cabin layout.","4× Rolls-Royce Trent 900 turbofans",634 mph,8500 mi,2,"Carries over 500 passengers"
F-35 Lightning II,Lockheed Martin,2006,Modern,Fighter,"Stealth multirole combat aircraft with advanced sensors and vertical takeoff capability (B variant).","Pratt & Whitney F135 turbofan",1200 mph,1379 mi,1,"Used by multiple allied nations"
Boeing 787 Dreamliner,Boeing,2009,Modern,Airliner,"Fuel-efficient composite-body jetliner with advanced aerodynamics and passenger comfort.","2× Rolls-Royce Trent 1000 or GEnx engines",560 mph,7600 mi,2,"Emphasizes range and efficiency"
Joby eVTOL,Joby Aviation,2020s,Future,Electric VTOL,"Prototype all-electric vertical takeoff and landing air taxi for urban mobility.","Electric distributed propulsion",200 mph,150 mi,1,"Represents the rise of electric air taxis"
